globalSearch	INPUT:text	البحث باسم المنتج...	
posProductSearchInput	INPUT:text	البحث باسم المنتج...	
posBarcodeScanInput	INPUT:text	امسح/اكتب الباركود...	
supportName	INPUT:text		
supportPhone	INPUT:tel		
supportMessage	TEXTAREA:textarea		
caisseOpeningBalance	INPUT:number		
caisseHistDateFrom	INPUT:date		
caisseHistDateTo	INPUT:date		
caisseHistUser	SELECT:select-one		جميع الموظفين
caisseClosingBalance	INPUT:number		
caisseCloseNote	INPUT:text		
caisseTxType	INPUT:hidden		
caisseTxAmount	INPUT:number		
caisseTxCategory	SELECT:select-one		إيجار | كهرباء | ماء | رواتب | نقل | صيانة | أخرى | ➕ إضافة فئة جديدة
caisseTxNewCategory	INPUT:text	اسم الفئة الجديدة...	
caisseTxDesc	INPUT:text		
settAccountCurrentUsername	INPUT:text		
settAccountNewUsername	INPUT:text	أدخل الاسم الجديد	
settAccountCurrentPwd	INPUT:password	••••••••	
settAccountNewPwd	INPUT:password	••••••••	
settAccountConfirmPwd	INPUT:password	••••••••	
settLanguage	SELECT:select-one		العربية (Arabic) | English | Français (French)
newExpenseCategoryInput	INPUT:text	اسم الفئة الجديدة...	
settShopName	INPUT:text		
settShopDesc	INPUT:text		
settShopAddress	INPUT:text	شارع ديدوش مراد، الجزائر العاصمة	
settShopPhone	INPUT:text	055XX XX XX	
settShopLandline	INPUT:text	021 XX XX XX	
settShopEmail	INPUT:text	contact@example.com	
settShopRC	INPUT:text		
settShopNIF	INPUT:text		
settShopAI	INPUT:text		
settShopNIS	INPUT:text		
settShopTVA	INPUT:number	0	
settSkipQuickSaleConfirm	INPUT:checkbox		
settFinancialOnlyMode	INPUT:checkbox		
settAllowNegativeStock	INPUT:checkbox		
settNegativeStockConfirm	INPUT:checkbox		
settPricingAverage	INPUT:checkbox		
settStampDutyEnabled	INPUT:checkbox		
settLogoInput	INPUT:file		
invoiceLang	SELECT:select-one		العربية (Arabic) | الفرنسية (Français) | الإنجليزية (English)
receiptLang	SELECT:select-one		العربية (Arabic) | الفرنسية (Français) | الإنجليزية (English)
settShowReceiptBarcode	INPUT:checkbox		
settSilentPrint	INPUT:checkbox		
settReceiptPrinter	SELECT:select-one		طابعة النظام الافتراضية | OneNote for Windows 10 | RustDesk Printer (الافتراضي) | PDFill PDF&Image Writer | Microsoft XPS Document Writer | Microsoft Print to PDF | Fax | AnyDesk Printer
settPosReceiptPrinter	SELECT:select-one		استخدام الطابعة الافتراضية أعلاه | OneNote for Windows 10 | RustDesk Printer (الافتراضي) | PDFill PDF&Image Writer | Microsoft XPS Document Writer | Microsoft Print to PDF | Fax | AnyDesk Printer
settBarcodePrinter	SELECT:select-one		استخدام الطابعة الافتراضية أعلاه | OneNote for Windows 10 | RustDesk Printer (الافتراضي) | PDFill PDF&Image Writer | Microsoft XPS Document Writer | Microsoft Print to PDF | Fax | AnyDesk Printer
settCashDrawerEnabled	INPUT:checkbox		
settCashDrawerOnSale	INPUT:checkbox		
settCashDrawerConn	SELECT:select-one		موصول بطابعة الإيصالات | منفذ USB / COM
settCashDrawerPrinter	SELECT:select-one		استخدام طابعة وصل البيع | OneNote for Windows 10 | RustDesk Printer (الافتراضي) | PDFill PDF&Image Writer | Microsoft XPS Document Writer | Microsoft Print to PDF | Fax | AnyDesk Printer
settCashDrawerComPort	INPUT:text	COM3	
settCashDrawerComBaud	INPUT:number		
settCashDrawerKickCode	SELECT:select-one		ESC p 0 (الافتراضي - منفذ 2) | ESC p 1 (منفذ 5) | DLE DC4 (طُرز أخرى) | نبضة DTR (أدراج USB قديمة)
settLabelWidth	INPUT:number		
settLabelHeight	INPUT:number		
settBarcodeAutoHeight	INPUT:checkbox		
